escuela,mesa,si,no,blanco,nulo
cem 33,317,,,,
cem 33,318,,,,
cem 33,319,,,,
cem 33,320,,,,
cem 33,321,,,,
cem 33,322,,,,
Primaria 71,323,,,,
Primaria 71,324,,,,
Primaria 71,325,,,,
Primaria 71,326,,,,
Primaria 71,327,,,,
Primaria 71,328,,,,
Primaria 71,329,,,,
Primaria 185,330,,,,
Primaria 185,331,,,,
Primaria 185,332,,,,
Primaria 185,333,,,,
Primaria 185,334,,,,
Primaria 185,335,,,,
Primaria 187,336,,,,
Primaria 187,337,,,,
Primaria 187,338,,,,
Primaria 187,339,,,,
Primaria 187,340,,,,
Primaria 187,341,,,,
Primaria 187,342,,,,
Primaria 187,343,,,,
Primaria 320,344,,,,
Primaria 320,345,,,,
Primaria 320,346,,,,
Primaria 320,347,,,,
Primaria 320,348,,,,
Primaria 320,349,,,,
Primaria 320,350,,,,
Primaria 320,351,,,,
Escuela 201,352,,,,
Escuela 201,353,,,,
Escuela 201,354,,,,
Escuela 201,355,,,,
Escuela 201,356,,,,
Escuela 201,357,,,,
Cem 37,358,,,,
Cem 37,359,,,,
Cem 37,360,,,,
Cem 37,361,,,,
Cem 37,362,,,,
Cem 37,363,,,,
Cem 37,364,,,,
Cem 37,365,,,,
Cem 37,366,,,,
Cem 37,367,,,,
Cem 37,368,,,,
Primaria 255,369,,,,
Primaria 255,370,,,,
Primaria 255,371,,,,
Primaria 255,372,,,,
Primaria 255,373,,,,
Primaria 255,374,,,,
Primaria 16,375,,,,
Primaria 16,376,,,,
Primaria 16,377,,,,
Primaria 16,378,,,,
Primaria 16,379,,,,
Primaria 16,380,,,,
Primaria 16,381,,,,
Primaria 16,382,,,,
Primaria 16,383,,,,
Primaria 311,384,,,,
Primaria 311,385,,,,
Primaria 311,386,,,,
Primaria 311,387,,,,
Primaria 311,388,,,,
Primaria 311,389,,,,
Primaria 266,390,,,,
Primaria 266,391,,,,
Primaria 266,392,,,,
Primaria 266,393,,,,
Primaria 266,394,,,,
Primaria 266,395,,,,
Primaria 266,396,,,,
Primaria 266,397,,,,
Primaria 266,398,,,,
Primaria 266,399,,,,
Primaria 266,400,,,,
Cem 45,401,,,,
Cem 45,402,,,,
Cem 45,403,,,,
Cem 45,404,,,,
Cem 45,405,,,,
Cem 45,406,,,,
Primaria 267,407,,,,
Primaria 267,408,,,,
Primaria 267,409,,,,
Primaria 267,410,,,,
Primaria 267,411,,,,
Primaria 267,412,,,,
Primaria 267,413,,,,
Primaria 267,414,,,,
Primaria 267,415,,,,
Primaria 273,416,,,,
Primaria 273,417,,,,
Primaria 273,418,,,,
Primaria 273,419,,,,
Primaria 273,420,,,,
Primaria 273,421,,,,
Primaria 273,422,,,,
Primaria 273,423,,,,
Primaria 273,424,,,,
Primaria 273,425,,,,
Primaria 284,426,,,,
Primaria 284,427,,,,
Primaria 284,428,,,,
Primaria 284,429,,,,
Primaria 284,430,,,,
Primaria 284,431,,,,
Primaria 284,432,,,,
Primaria 284,433,,,,
Primaria 284,434,,,,
Primaria 278,435,,,,
Primaria 278,436,,,,
Primaria 278,437,,,,
Primaria 278,438,,,,
Primaria 278,439,,,,
Primaria 278,440,,,,
Cem:cet 2,441,,,,
Cem:cet 2,442,,,,
Cem:cet 2,443,,,,
Cem:cet 2,444,,,,
Cem:cet 2,445,,,,
Cem:cet 2,446,,,,
Cem:cet 2,447,,,,
Cem:cet 2,448,,,,
Cem:cet 2,449,,,,
Cem:cet 2,450,,,,
Cem 20,451,,,,
Cem 20,452,,,,
Cem 20,453,,,,
Cem 20,454,,,,
Cem 20,455,,,,
Cem 20,456,,,,
Cem 99,457,,,,
Cem 99,458,,,,
Cem 99,459,,,,
Cem 99,460,,,,
Cem 99,461,,,,
Cem 99,462,,,,
Cem 99,463,,,,
Cem 99,464,,,,
Cem 99,465,,,,
Primaria 328,466,,,,
Primaria 328,467,,,,
Primaria 328,468,,,,
Primaria 328,469,,,,
Primaria 328,470,,,,
Primaria 328,471,,,,
Cem 105,472,,,,
Cem 105,473,,,,
Cem 105,474,,,,
Cem 105,475,,,,
Cem 105,476,,,,
Cem 105,477,,,,
Cem 105,478,,,,
Cem 105,479,,,,
,,,,,
Especial 19,480,,,,
Especial 19,481,,,,
Especial 19,482,,,,
Especial 19,483,,,,
Especial 19,484,,,,
Especial 19,485,,,,
Especial 19,486,,,,
Especial 19,487,,,,
Especial 19,488,,,,
Escuela 343,489,,,,
Escuela 343,490,,,,
Escuela 343,491,,,,
Escuela 343,492,,,,
Escuela 343,493,,,,
Escuela 343,494,,,,
Primaria 315,495,,,,
Primaria 315,496,,,,
Primaria 315,497,,,,
Primaria 315,498,,,,
Primaria 315,499,,,,
Primaria 315,500,,,,
Primaria 154,501,,,,
Primaria 154,502,,,,
Primaria 154,503,,,,
Primaria 154,504,,,,
Primaria 154,505,,,,
Primaria 154,506,,,,
Primaria 154,507,,,,
Primaria 154,508,,,,
Primaria 154,509,,,,
Primaria 154,510,,,,
Primaria 154,511,,,,
Primaria 154,512,,,,
Cem 36,513,,,,
Cem 36,514,,,,
Cem 36,515,,,,
Cem 36,516,,,,
Cem 36,517,,,,
Cem 36,518,,,,
Cem 36,519,,,,
Cem 36,520,,,,
Cem 36,521,,,,
Cem 36,522,,,,
IFD,523,,,,
IFD,524,,,,
IFD,525,,,,
IFD,526,,,,
IFD,527,,,,
IFD,528,,,,
Cem 138,529,,,,
Cem 138,530,,,,
Cem 138,531,,,,
Cem 138,532,,,,
Cem 138,533,,,,
Cem 138,534,,,,
Cem 138,535,,,,
Cem 138,536,,,,
Cem 138,537,,,,
Cet 25,538,,,,
Cet 25,539,,,,
Cet 25,540,,,,
Cet 25,541,,,,
,,,,,
Especial 6,E001,,,,
,E002,,,,
